title,actors
Ride a Wild Pony,Michael Craig; John Meillon; Eva Griffith; Graham Rouse; Robert Bettles; Alfred Bell; John Meillon Jr.
Diner,Mickey Rourke; Steve Guttenberg; Ellen Barkin; Daniel Stern; Kevin Bacon; Timothy Daly; Paul Reiser; Kelle Kipp; Colette Blonigan
Dead-Bang,Don Johnson; Penelope Ann Miller; William Forsythe; Bob Balaban; Tate Donovan; Tim Reid; Michael Jeter; Brad Sullivan
At Close Range,Christopher Walken; Sean Penn; Chris Penn; Mary Stuart Masterson; Millie Perkins; Eileen Ryan; Tracey Walter; David Strathairn; Kiefer Sutherland; Candy Clark
Sleeping with the Enemy,Julia Roberts; Patrick Bergin; Kevin Anderson; Elizabeth Lawrence; Kyle Secor; Claudette Nevins; Tony Abatemarco; Marita Geraghty; Harley Venton
In Bed With Madonna,Madonna; Warren Beatty; Sandra Bernhard; Antonio Banderas; Pedro Almodóvar
Bowery at Midnight,Bela Lugosi; John Archer; Wanda McKay; Dave O'Brien; Lew Kelly
Mr. Majestyk,Charles Bronson; Linda Cristal; Al Lettieri; Lee Purcell
Warning Sign,Sam Waterston; Kathleen Quinlan; Yaphet Kotto; Jeffrey DeMunn
About Last Night,Rob Lowe; Demi Moore; James Belushi; Elizabeth Perkins; George DiCenzo; Robin Thomas; Megan Mullally
Fail-Safe,Henry Fonda; Dan O'Herlihy; Walter Matthau; Dom DeLuise; Frank Overton; Edward Binns; Fritz Weaver; Larry Hagman
Some Like It Hot,Tony Curtis; Jack Lemmon; Marilyn Monroe; Joe E. Brown; George Raft; Pat O'Brien; Nehemiah Persoff; Joan Shawlee
Johnny O'Clock,Dick Powell; Evelyn Keyes; Lee J. Cobb; Ellen Drew; Nina Foch; Thomas Gomez; Jim Bannon
Back to School,Rodney Dangerfield; Keith Gordon; Sally Kellerman; Robert Downey jr.; Burt Young; Ned Beatty; Terry Farrell; Paxton Whitehead; M. Emmet Walsh; Adrienne Barbeau
Driving Miss Daisy,Jessica Tandy; Morgan Freeman; Dan Aykroyd; Patty LuPone; Esther Rolle
Enid Is Sleeping,Elizabeth Perkins; Judge Reinhold; Maurine Mueller; Michael J. Pollard; Jeffrey Jones; Rhea Perlman; Brion James
The Appaloosa,Marlon Brando; Anjanette Comer; John Saxon; Emilio Fernández; Alex Montoya; Miriam Colon; Rafael Campos; Frank Silvera
You'll Like My Mother,Patty Duke; Rosemary Murphy; Richard Thomas; Sian Barbara Allen; Dennis Rucker
The Deep,Nick Nolte; Jacqueline Bisset; Robert Shaw; Eli Wallach; Louis Gossett jr.; Dick Anthony Williams; Earl Maynard; Bob Minor
Abe Lincoln in Illinois,Raymond Massey; Ruth Gordon; Gene Lockhart; Mary Howard; Minor Watson; Alan Baxter; Harvey Stephens; Howard Da Silva; Dorothy Tree
The Abyss,Ed Harris; Mary Elizabeth Mastrantonio; Michael Biehn; Leo Burmester; Todd Graff; John Bedford Lloyd; J.C. Quinn; Kimberly Scott
Made in Heaven,Timothy Hutton; Kelly McGillis; Maureen Stapleton; Ann Wedgeworth; James Gammon; Mare Winningham; John Considine; Don Murray; Tim Daly; David Rasche; Amanda Plummer; Tom Petty
September Affair,Joan Fontaine; Joseph Cotten; Françoise Rosay; Jessica Tandy; Robert Arthur; Jimmy Lydon; Fortunio Bonanova
It Happened One Night,Clark Gable; Claudette Colbert; Walter Connolly; Roscoe Karns; Jameson Thomas; Alan Hale; Arthur Hoyt; Blanche Friderici
Action Jackson,Carl Weathers; Craig T. Nelson; Vanity; Sharon Stone; Thomas F. Wilson; Bill Duke; Robert Davi; Jack Thibeau
Mail Order Bride,Buddy Ebsen; Keir Dullea; Warren Oates; Marie Windsor; Lois Nettleton; Barbara Luna
Ada,Susan Hayward; Dean Martin; Wilfrid Hyde-White; Martin Balsam; Ralph Meeker; Frank Maxwell; Connie Sawyer; Ford Rainey
Farewell to the King,Nick Nolte; Nigel Havers; James Fox; Frank McRae; Marilyn Toduka; Gerry Lopez; Chang Wing Choy; Aki Aleong
A Farewell to Arms,Gary Cooper; Helen Hayes; Adolphe Menjou; Mary Philips; Jack La Rue; Blanche Friderici; Mary Forbes; Gilbert Emery
"Goodbye, My Lady",Brandon de Wilde; Walter Brennan; Sidney Poitier; Phil Harris; William Hopper; Louise Beavers; George Chandler
Goodbye Mr. Chips!,Robert Donat; Greer Garson; Paul Henreid; Terry Kilburn; John Mills; Judith Furse; Lyn Harding; Milton Rosmer
The Miniver Story,Greer Garson; Walter Pidgeon; John Hodiak; Leo Genn; Cathy O'Donnell; Reginald Owen; Anthony Bushell; Richard Gale
Unfaithfully Yours,Dudley Moore; Nastassja Kinski; Armand Assante; Cassie Yates; Richard Libertini; Albert Brooks; Richard B. Shull
Beloved Infidel,Gregory Peck; Deborah Kerr; Eddie Albert; Philip Ober; Herbert Rudley; John Sutton; Karin Booth
Airplane!,Robert Hays; Julie Hagerty; Leslie Nielsen; Lloyd Bridges; Peter Graves; Kareem Abdul-Jabbar; Robert Stack; Lorna Patterson; Frank Ashmore; Maureen McGovern
Stewardess School,Judy Landers; Brett Cullen; Sherman Hemsley; Mary Cadorette; Don Most; Sandahl Bergman; Wendie Jo Sperber; Dennis Burkley
Airplane II: The Sequel,Robert Hays; Julie Hagerty; Raymond Burr; Lloyd Bridges; Chad Everett; Chuck Connors; Rip Thorn; John Dehner; Peter Graves; William Shatner
The Defector,Montgomery Clift; Hardy Krüger; Macha Meril; Christine Delaroche; David Opatoshu; Hannes Messemer; Karl Lieffen; Uta Levka
Big Business,Bette Midler; Lily Tomlin; Fred Ward; Michele Placido; Edward Herrmann; Daniel Gerroll; Barry Primus; Michael Gross; Deborah Rush
Internal Affairs,Richard Gere; Andy Garcia; Nancy Travis; Laurie Metcalf; Richard Bradford; William Baldwin; Michael Beach; Katherine Borowitz
The Notorious Landlady,Kim Novak; Jack Lemmon; Fred Astaire; Estelle Winwood; Lionel Jeffries; Maxwell Reed; Philippa Bevans; Henry Daniell
Burglar,Whoopi Goldberg; Bob Goldthwait; G.W. Bailey; Lesley Ann Warren; James Handy; Anne De Salvo; John Goodman; Elizabeth Ruscio
Taking Care of Business,James Belushi; Charles Grodin; Anne De Salvo; Loryn Locklin; Stephen Elliott; Hector Elizondo; Mako; Veronica Hamel; Gates McFadden
Dangerous Mission,Victor Mature; Piper Laurie; Vincent Price; William Bendix; Betta St. John; Steve Darrell; Marlo Dwyer; Walter Reed; Dennis Weaver
Under Cover,David Neidorf; Jennifer Jason Leigh; David Harris; Barry Corbin; Kathleen Wilhoite; Carmen Argenziano; Brad Leland; John Philbin
The Pawnshop,Charles Chaplin; Henry Bergman; Edna Purviance; John Rand; Albert Austin; Eric Campbell; James T. Kelley; Frank J. Coleman
The Ultimate Solution of Grace Quigley,Katharine Hepburn; Nick Nolte; Kit Le Fever; Chip Zien; William Duell; Walter Abel; Elizabeth Wilson; Frances Pole
Across the Pacific,Humphrey Bogart; Mary Astor; Sydney Greenstreet; Charles Halton; Victor Sen Yung; Roland Got; Lee Tung Foo; Frank Wilcox
